	Precision 	  Recall  	 F 
a       	   89.80% 	  88.42% 	  89.11%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   91.67% 	  73.33% 	  81.48%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   94.44% 	  94.44% 	  94.44%
if2     	    0.00% 	   0.00% 	   0.00%
if3     	   75.44% 	  72.88% 	  74.14%
if4     	   69.05% 	  58.00% 	  63.04%
l       	   71.28% 	  83.75% 	  77.01%
qt      	   93.49% 	  93.25% 	  93.37%
sp      	   94.12% 	  80.00% 	  86.49%
ti      	   94.74% 	  94.74% 	  94.74%
tl      	  100.00% 	 100.00% 	 100.00%
tp      	   25.00% 	  25.00% 	  25.00%
tv      	   95.72% 	  94.98% 	  95.35%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   90.10% 	  89.47% 	  89.78% 
