	Precision 	  Recall  	 F 
a       	   90.72% 	  92.27% 	  91.49%
ac      	  100.00% 	  90.00% 	  94.74%
ano     	  100.00% 	  81.25% 	  89.66%
dl      	  100.00% 	  96.30% 	  98.11%
if1     	   94.44% 	  85.00% 	  89.47%
if2     	    0.00% 	   0.00% 	   0.00%
if3     	   88.89% 	  82.35% 	  85.50%
if4     	   77.78% 	  72.92% 	  75.27%
l       	   90.00% 	  94.19% 	  92.05%
qt      	   96.40% 	  93.52% 	  94.94%
sp      	  100.00% 	  94.12% 	  96.97%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  37.50% 	  54.55%
tp      	  100.00% 	  25.00% 	  40.00%
tv      	   96.89% 	  96.89% 	  96.89%
v       	   93.88% 	  90.20% 	  92.00%
Overall 	   94.02% 	  91.47% 	  92.73% 
