	Precision 	  Recall  	 F 
a       	   92.86% 	  92.52% 	  92.69%
ac      	  100.00% 	  96.00% 	  97.96%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   66.67% 	  40.00% 	  50.00%
if3     	   86.89% 	  77.94% 	  82.17%
if4     	   86.84% 	  56.90% 	  68.75%
l       	   91.82% 	  92.24% 	  92.03%
qt      	   99.54% 	  99.54% 	  99.54%
tl      	  100.00% 	  83.33% 	  90.91%
tp      	  100.00% 	  84.62% 	  91.67%
tv      	   99.77% 	  99.19% 	  99.48%
v       	   97.62% 	  96.47% 	  97.04%
Overall 	   96.46% 	  94.83% 	  95.64% 
