	Precision 	  Recall  	 F 
a       	   80.65% 	  81.52% 	  81.08%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   60.00% 	  40.00% 	  48.00%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   96.67% 	  87.88% 	  92.06%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   96.77% 	  81.08% 	  88.24%
if4     	   72.22% 	  68.42% 	  70.27%
l       	   97.44% 	  97.44% 	  97.44%
qt      	   88.44% 	  90.05% 	  89.24%
sp      	   86.67% 	  81.25% 	  83.87%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	 100.00% 	 100.00%
tp      	    0.00% 	   0.00% 	   0.00%
tv      	   87.67% 	  85.33% 	  86.49%
v       	   96.55% 	  96.55% 	  96.55%
Overall 	   88.52% 	  86.48% 	  87.49% 
