	Precision 	  Recall  	 F 
a       	   89.10% 	  88.10% 	  88.60%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   75.00% 	  64.29% 	  69.23%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   87.50% 	  82.35% 	  84.85%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   88.89% 	  87.67% 	  88.28%
if4     	   82.61% 	  79.17% 	  80.85%
l       	   86.27% 	  88.89% 	  87.56%
qt      	   95.92% 	  95.24% 	  95.58%
sp      	   92.86% 	  92.86% 	  92.86%
ti      	   93.75% 	  93.75% 	  93.75%
tl      	   87.50% 	  87.50% 	  87.50%
tp      	   33.33% 	  25.00% 	  28.57%
tv      	   96.77% 	  96.43% 	  96.60%
v       	   92.31% 	  93.75% 	  93.02%
Overall 	   92.59% 	  91.86% 	  92.23% 
