	Precision 	  Recall  	 F 
a       	   89.62% 	  85.98% 	  87.76%
ac      	   92.31% 	  92.31% 	  92.31%
ano     	   68.75% 	  68.75% 	  68.75%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   77.78% 	  77.78% 	  77.78%
if2     	    0.00% 	   0.00% 	   0.00%
if3     	   76.47% 	  85.25% 	  80.62%
if4     	   67.27% 	  69.81% 	  68.52%
l       	   88.51% 	  82.80% 	  85.56%
qt      	   94.66% 	  93.75% 	  94.20%
sp      	   88.24% 	 100.00% 	  93.75%
ti      	   91.67% 	  95.65% 	  93.62%
tl      	    0.00% 	   0.00% 	   0.00%
tp      	    0.00% 	   0.00% 	   0.00%
tv      	   97.47% 	  98.90% 	  98.18%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   91.17% 	  90.76% 	  90.96% 
