	Precision 	  Recall  	 F 
a       	   85.54% 	  85.54% 	  85.54%
ac      	   90.91% 	  90.91% 	  90.91%
ano     	   83.33% 	  55.56% 	  66.67%
dl      	   96.15% 	  96.15% 	  96.15%
if1     	   88.89% 	  86.96% 	  87.91%
if2     	   66.67% 	 100.00% 	  80.00%
if3     	   74.63% 	  68.49% 	  71.43%
if4     	   82.50% 	  82.50% 	  82.50%
l       	   87.95% 	  82.95% 	  85.38%
qt      	   93.87% 	  93.41% 	  93.64%
sp      	   96.43% 	  96.43% 	  96.43%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	   80.00% 	  72.73% 	  76.19%
tp      	   76.92% 	  90.91% 	  83.33%
tv      	   96.04% 	  98.89% 	  97.45%
v       	   98.39% 	  98.39% 	  98.39%
Overall 	   90.93% 	  90.26% 	  90.59% 
