	Precision 	  Recall  	 F 
a       	   88.64% 	  86.67% 	  87.64%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   75.00% 	  40.00% 	  52.17%
dl      	  100.00% 	  96.55% 	  98.25%
if1     	   92.00% 	  88.46% 	  90.20%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   85.29% 	  87.88% 	  86.57%
if4     	   93.94% 	  83.78% 	  88.57%
l       	   97.37% 	  90.24% 	  93.67%
qt      	   93.64% 	  89.96% 	  91.76%
sp      	  100.00% 	 100.00% 	 100.00%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  50.00% 	  66.67%
tp      	  100.00% 	  33.33% 	  50.00%
tv      	   87.84% 	  97.01% 	  92.20%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   92.71% 	  89.51% 	  91.08% 
