	Precision 	  Recall  	 F 
a       	   85.71% 	  86.96% 	  86.33%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   92.31% 	  80.00% 	  85.71%
dl      	  100.00% 	  96.30% 	  98.11%
if1     	   93.33% 	 100.00% 	  96.55%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   76.00% 	  67.86% 	  71.70%
if4     	   91.67% 	  59.46% 	  72.13%
l       	   86.21% 	  84.75% 	  85.47%
qt      	   90.00% 	  86.96% 	  88.45%
sp      	   91.43% 	  96.97% 	  94.12%
ti      	  100.00% 	  92.31% 	  96.00%
tl      	  100.00% 	 100.00% 	 100.00%
tp      	  100.00% 	  33.33% 	  50.00%
tv      	   91.46% 	  96.15% 	  93.75%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   90.54% 	  87.60% 	  89.05% 
