	Precision 	  Recall  	 F 
a       	   84.17% 	  84.58% 	  84.38%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   88.14% 	  66.67% 	  75.91%
dl      	  100.00% 	  98.55% 	  99.27%
if1     	   97.62% 	  88.65% 	  92.92%
if2     	  100.00% 	  83.33% 	  90.91%
if3     	   90.54% 	  78.36% 	  84.01%
if4     	   84.71% 	  74.72% 	  79.40%
l       	   91.86% 	  89.82% 	  90.83%
qt      	   91.26% 	  89.34% 	  90.29%
sp      	   96.52% 	  95.69% 	  96.10%
ti      	  100.00% 	  96.77% 	  98.36%
tl      	  100.00% 	  63.16% 	  77.42%
tp      	   75.00% 	  33.33% 	  46.15%
tv      	   91.99% 	  96.68% 	  94.28%
v       	   98.16% 	  97.56% 	  97.86%
Overall 	   91.64% 	  88.68% 	  90.14% 
