	Precision 	  Recall  	 F 
a       	   87.78% 	  87.78% 	  87.78%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   81.82% 	  60.00% 	  69.23%
dl      	  100.00% 	  96.55% 	  98.25%
if1     	   95.83% 	  88.46% 	  92.00%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   86.67% 	  78.79% 	  82.54%
if4     	   90.32% 	  75.68% 	  82.35%
l       	   91.89% 	  82.93% 	  87.18%
qt      	   90.58% 	  88.21% 	  89.38%
sp      	  100.00% 	 100.00% 	 100.00%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	  100.00% 	  50.00% 	  66.67%
tp      	  100.00% 	  33.33% 	  50.00%
tv      	   87.67% 	  95.52% 	  91.43%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   91.23% 	  87.95% 	  89.56% 
