	Precision 	  Recall  	 F 
a       	   85.89% 	  88.75% 	  87.30%
ac      	  100.00% 	 100.00% 	 100.00%
ano     	   84.62% 	  78.57% 	  81.48%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	   92.31% 	  87.80% 	  90.00%
if2     	  100.00% 	 100.00% 	 100.00%
if3     	   92.42% 	  85.92% 	  89.05%
if4     	   89.47% 	  73.91% 	  80.95%
l       	   80.65% 	  83.33% 	  81.97%
qt      	   95.14% 	  95.14% 	  95.14%
sp      	   84.00% 	  95.45% 	  89.36%
ti      	  100.00% 	 100.00% 	 100.00%
tl      	   66.67% 	 100.00% 	  80.00%
tp      	  100.00% 	  66.67% 	  80.00%
tv      	   94.21% 	  92.68% 	  93.44%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   91.64% 	  91.20% 	  91.42% 
