	Precision 	  Recall  	 F 
a       	   92.79% 	  92.79% 	  92.79%
ac      	   80.00% 	  80.00% 	  80.00%
dl      	  100.00% 	 100.00% 	 100.00%
if1     	  100.00% 	  33.33% 	  50.00%
if3     	   78.95% 	  78.95% 	  78.95%
if4     	  100.00% 	 100.00% 	 100.00%
l       	   97.37% 	  94.87% 	  96.10%
qt      	   99.01% 	  99.01% 	  99.01%
sp      	   50.00% 	 100.00% 	  66.67%
tl      	   60.00% 	  75.00% 	  66.67%
tp      	  100.00% 	  50.00% 	  66.67%
tv      	  100.00% 	 100.00% 	 100.00%
v       	  100.00% 	 100.00% 	 100.00%
Overall 	   96.31% 	  96.04% 	  96.18% 
