	Precision 	  Recall  	 F 
a       	   83.74% 	  90.43% 	  86.96%
ac      	  100.00% 	 100.00% 	 100.00%
dl      	    0.00% 	   0.00% 	   0.00%
if1     	   50.00% 	  50.00% 	  50.00%
if3     	   85.71% 	  51.43% 	  64.29%
if4     	   91.67% 	  78.57% 	  84.62%
l       	   92.86% 	  84.78% 	  88.64%
qt      	   99.00% 	  99.00% 	  99.00%
sp      	    0.00% 	   0.00% 	   0.00%
tl      	  100.00% 	  50.00% 	  66.67%
tp      	  100.00% 	  80.00% 	  88.89%
tv      	  100.00% 	  98.43% 	  99.21%
v       	   96.97% 	  96.97% 	  96.97%
Overall 	   93.62% 	  91.84% 	  92.72% 
